,data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi
117,2020-02-29 17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,7,0.0,7,4,11,0,0,0,11,308
118,2020-02-29 17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1,0.0,1,2,3,0,0,0,3,252
119,2020-02-29 17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0.0,0,0,0,0,0,0,0,1
120,2020-02-29 17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1,0.0,1,1,2,0,2,0,4,6
121,2020-02-29 17:00:00,ITA,9,Toscana,43.76923077,11.25588885,7,0.0,7,3,10,3,1,0,11,531
122,2020-02-29 17:00:00,ITA,4,Trento,46.06893511,11.12123097,0,0.0,0,0,0,0,0,0,0,43
123,2020-02-29 17:00:00,ITA,10,Umbria,43.10675841,12.38824698,0,0.0,0,0,0,0,0,0,0,31
124,2020-02-29 17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0.0,0,0,0,0,0,0,0,9
125,2020-02-29 17:00:00,ITA,5,Veneto,45.43490485,12.33845213,24,11.0,35,154,189,40,0,2,191,8659
126,2020-03-01 17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,3,0.0,3,2,5,3,0,0,5,52
127,2020-03-01 17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0.0,0,0,0,0,0,0,0,39
128,2020-03-01 17:00:00,ITA,4,Bolzano,46.49933453,11.35662422,1,0.0,1,0,1,0,0,0,1,20
129,2020-03-01 17:00:00,ITA,18,Calabria,38.90597598,16.59440194,0,0.0,0,1,1,0,0,0,1,35
130,2020-03-01 17:00:00,ITA,15,Campania,40.83956555,14.25084984,4,0.0,4,13,17,4,0,0,17,373
131,2020-03-01 17:00:00,ITA,8,Emilia Romagna,44.49436681,11.3417208,127,13.0,140,137,277,64,0,8,285,1795
132,2020-03-01 17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0.0,0,6,6,6,0,0,6,243
133,2020-03-01 17:00:00,ITA,12,Lazio,41.89277044,12.48366722,3,0.0,3,0,3,0,3,0,6,724
134,2020-03-01 17:00:00,ITA,7,Liguria,44.41149315,8.9326992,12,1.0,13,8,21,-17,4,0,25,121
135,2020-03-01 17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,406,106.0,512,375,887,335,73,24,984,6879
136,2020-03-01 17:00:00,ITA,11,Marche,43.61675973,13.5188753,12,5.0,17,8,25,14,0,0,25,101
137,2020-03-01 17:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0.0,0,0,0,0,0,0,0,6
138,2020-03-01 17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,11,2.0,13,36,49,38,0,0,49,362
139,2020-03-01 17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1,0.0,1,2,3,0,0,0,3,262
140,2020-03-01 17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0.0,0,0,0,0,0,0,0,29
141,2020-03-01 17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1,0.0,1,6,7,5,2,0,9,291
142,2020-03-01 17:00:00,ITA,9,Toscana,43.76923077,11.25588885,7,0.0,7,5,12,2,1,0,13,572
143,2020-03-01 17:00:00,ITA,4,Trento,46.06893511,11.12123097,0,0.0,0,0,0,0,0,0,0,122
144,2020-03-01 17:00:00,ITA,10,Umbria,43.10675841,12.38824698,0,0.0,0,2,2,2,0,0,2,35
145,2020-03-01 17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0.0,0,0,0,0,0,0,0,10
146,2020-03-01 17:00:00,ITA,5,Veneto,45.43490485,12.33845213,51,13.0,64,197,261,72,0,2,263,9056
147,2020-03-02 18:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,3,0.0,3,2,5,0,0,0,5,52
148,2020-03-02 18:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0.0,0,0,0,0,0,0,0,39
149,2020-03-02 18:00:00,ITA,4,Bolzano,46.49933453,11.35662422,1,0.0,1,0,1,0,0,0,1,20
150,2020-03-02 18:00:00,ITA,18,Calabria,38.90597598,16.59440194,0,0.0,0,1,1,0,0,0,1,39
151,2020-03-02 18:00:00,ITA,15,Campania,40.83956555,14.25084984,4,0.0,4,13,17,0,0,0,17,373
152,2020-03-02 18:00:00,ITA,8,Emilia Romagna,44.49436681,11.3417208,148,16.0,164,160,324,47,0,11,335,1973
153,2020-03-02 18:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0.0,0,9,9,3,0,0,9,269
154,2020-03-02 18:00:00,ITA,12,Lazio,41.89277044,12.48366722,3,0.0,3,1,4,1,3,0,7,773
155,2020-03-02 18:00:00,ITA,7,Liguria,44.41149315,8.9326992,12,1.0,13,5,18,-3,4,0,22,121
156,2020-03-02 18:00:00,ITA,3,Lombardia,45.46679409,9.190347404,478,127.0,605,472,1077,190,139,38,1254,7925
157,2020-03-02 18:00:00,ITA,11,Marche,43.61675973,13.5188753,17,6.0,23,11,34,9,0,1,35,137
158,2020-03-02 18:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0.0,0,0,0,0,0,0,0,13
159,2020-03-02 18:00:00,ITA,1,Piemonte,45.0732745,7.680687483,12,2.0,14,37,51,2,0,0,51,434
160,2020-03-02 18:00:00,ITA,16,Puglia,41.12559576,16.86736689,2,0.0,2,2,4,1,0,0,4,278
161,2020-03-02 18:00:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0.0,0,0,0,0,0,0,0,29
162,2020-03-02 18:00:00,ITA,19,Sicilia,38.11569725,13.3623567,2,0.0,2,3,5,-2,2,0,7,307
163,2020-03-02 18:00:00,ITA,9,Toscana,43.76923077,11.25588885,7,0.0,7,5,12,0,1,0,13,613
164,2020-03-02 18:00:00,ITA,4,Trento,46.06893511,11.12123097,0,0.0,0,0,0,0,0,0,0,122
165,2020-03-02 18:00:00,ITA,10,Umbria,43.10675841,12.38824698,0,0.0,0,2,2,0,0,0,2,35
166,2020-03-02 18:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0.0,0,0,0,0,0,0,0,11
167,2020-03-02 18:00:00,ITA,5,Veneto,45.43490485,12.33845213,53,14.0,67,204,271,10,0,2,273,9782
168,2020-03-03 18:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,5,0.0,5,1,6,1,0,0,6,52
169,2020-03-03 18:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0.0,0,1,1,1,0,0,1,42
170,2020-03-03 18:00:00,ITA,4,Bolzano,46.49933453,11.35662422,1,0.0,1,0,1,0,0,0,1,20
171,2020-03-03 18:00:00,ITA,18,Calabria,38.90597598,16.59440194,0,0.0,0,1,1,0,0,0,1,39
172,2020-03-03 18:00:00,ITA,15,Campania,40.83956555,14.25084984,11,0.0,11,19,30,13,0,0,30,405
173,2020-03-03 18:00:00,ITA,8,Emilia Romagna,44.49436681,11.3417208,187,24.0,211,187,398,74,4,18,420,2012
174,2020-03-03 18:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,1,0.0,1,12,13,4,0,0,13,354
175,2020-03-03 18:00:00,ITA,12,Lazio,41.89277044,12.48366722,10,0.0,10,1,11,7,3,0,14,877
176,2020-03-03 18:00:00,ITA,7,Liguria,44.41149315,8.9326992,12,2.0,14,5,19,1,4,1,24,121
177,2020-03-03 18:00:00,ITA,3,Lombardia,45.46679409,9.190347404,698,167.0,865,461,1326,249,139,55,1520,9577
178,2020-03-03 18:00:00,ITA,11,Marche,43.61675973,13.5188753,27,13.0,40,19,59,25,0,2,61,200
179,2020-03-03 18:00:00,ITA,14,Molise,41.55774754,14.65916051,3,0.0,3,0,3,3,0,0,3,13
180,2020-03-03 18:00:00,ITA,1,Piemonte,45.0732745,7.680687483,13,3.0,16,40,56,5,0,0,56,458
181,2020-03-03 18:00:00,ITA,16,Puglia,41.12559576,16.86736689,2,0.0,2,4,6,2,0,0,6,298
